study_id,study_slug,included_status,title,pmid,year_published,journal_published,article_type_general,article_type_specific,open_access,data_available,data_availability_notes,imaging_modality,resolution,sample_size_number,sample_size_notes,model_system,model_system_specific,organelles,quantifications,comparators_conditions,comments,source_file,source_sheet,source_repo_url,source_commit
Burrell 2022,burrell-2022,included,Cellular electron tomography of the apical complex in the apicomplexan parasite Eimeria tenella shows a highly organised gateway for regulated secretion.,35816515,2022,PLoS Pathogens,Research Article,Research Article,Yes,No,,SBF-SEM,xy? 100-200nm z,25,,Other: protozoan/protist,Eimeria tenella (sporozoite),"Nucleus; Mitochondria; Other: Refractile bodies, amylopectin granules, acidocalcisomes, microneme, rhoptries",Volume; Volume fraction; Count/#,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Includes,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Carlson 2013,carlson-2013,included,Laboratory-based cryogenic soft x-ray tomography with correlative cryo-light and electron microscopy.,23332214,2013,Microscopy and Microanalysis,Technical Article,"""journal article""",No,No,,SXT,50nm half-pitch (90nm structures),1,A yeast cell,Yeast,Saccharomyces cerevisiae,Nucleus; Mitochondria; Vacuole/Lysosome; Other: Cell envelope (not organelle),Dimensions,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Includes,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Chen 2022,chen-2022,included,Soft X-ray Tomography Reveals HSV-1-Induced Remodeling of Human B Cells.,36560654,2022,Viruses,Research Article,Article,Yes,No,The data supporting this studyâ€™s findings are available from the corresponding author upon request.,SXT,60nm,1,true whole-cell reconstruction,Human,HSV-1-infected human B cells,Nucleus; Mitochondria; Lipid Droplets,None,Other: N/A,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Includes,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Cho 2023,cho-2023,included,Influence of Chemical and Genetic Manipulations on Cellular Organelles Quantified by Label-Free Optical Diffraction Tomography.,37523497,2023,Analytical Chemistry,Technical Article,Article,No,No,,Other: optical diffraction tomography,"110nm xy, 365nm z",2,"(nucleus + autophagosome, Fig 5C, originally thought we'd include Fig 7 but cells appear to be cut off)",Human,HeLa,Nucleus; Autophagosome,Other: RI,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Includes,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Conesa 2020,conesa-2020,included,"Four-Dimensional Characterization of the Babesia divergens Asexual Life Cycle, from the Trophozoite to the Multiparasite Stage.",33055261,2020,mSphere,Research Article,Research Article,Yes,No,,SXT,50nm isotropic,40+,"at least 40 parasites in 19 RBCs, counted from Fig 4, couldn’t find SS stated in text;",Other: Protist/protozoa,"Babesia divergens (asexual, in human RBC)","Nucleus; Mitochondria; Other: Apicoplast, dense granules",Dimensions,Cell Cycle,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Includes,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Cooper 2017,cooper-2017,included,A comparative molecular and 3-dimensional structural investigation into cross-continental and novel avian Trypanosoma spp. in Australia.,28499405,2017,Parasites & Vectors,Research Article,"""Research""/ Comparative study (PubMed)",Yes,No,"Availability of data and material The datasets used and/or analysed during the current study are available from the corresponding author on reasonable request, where not included in the published article or additional files.",FIB-SEM,xy? 25nm z,2,"2 full reconstructions; quants from 25 cells, only kinetoplasts segmented",Flagellate protist,Trypanosoma (new species from currawong),"Nucleus; Mitochondria; Other: reservosome (late endosome), glycosome, kinetoplast pocket, acidocalcisomes",Volume; Dimensions; Surface Area,Other: a large and a small epimastigote,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Includes,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Cui 2019,cui-2019,included,A whole-cell electron tomography model of vacuole biogenesis in Arabidopsis root cells.,30559414,2019,Nature Plants,Research Article,Articles,No,No,Data availability The data that support the findings of this study are available from the corresponding authors upon request.,Cryo ET,"4.3nm xy, 300nm z",1,1 whole cell w multiple organelles; 3 whole-cell vacuole only,Plant,"Arabidopsis thaliana, cortical root","Nucleus; ER; Mitochondria; Vacuole/Lysosome; Chloroplast/Plastid; Golgi; MVB; Other: multiple vacuole types: SV, tubular vacuole",Volume; Volume fraction; Other: Vol:SA ratio,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Includes,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Dang 2023,dang-2023,included,Direct Visualization and Restoration of Metallic Ion-Induced Subcellular Ultrastructural Remodeling.,37156644,2023,ACS Nano,Research Article,Article,No,No,,SXT,30nm,40+,,Yeast,Candida utilis,Nucleus; Mitochondria; Vacuole/Lysosome; Lipid Droplets,Volume; Volume fraction; Count/#; Density; Shape,Stressors,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Includes,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Decelle 2019,decelle-2019,included,Algal Remodeling in a Ubiquitous Planktonic Photosymbiosis.,30827917,2019,Current Biology,Research Article,Article,Yes,No,,FIB-SEM,8nm isotropic,18,"8 symbiotic, 10 free-living; 2 representative cells shown",Other: Protozoan/Protist,microalga Phaeocystis,Nucleus; Chloroplast/Plastid,Volume; Count/#; Surface Area,Metabolic State,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Includes,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Decelle 2021,decelle-2021,included,Subcellular architecture and metabolic connection in the planktonic photosymbiosis between Collodaria (radiolarians) and their microalgae.,34499794,2021,Environmental Microbiology,Research Article,Research article,Yes,No,,FIB-SEM,8nm isotropic,7,"3 free-living, 4 symbiotic",Flagellate protist; Other: marine protist,Brandtodinium nutricula (microalga),"Nucleus; Mitochondria; Vacuole/Lysosome; Chloroplast/Plastid; Other: chromosomes, pyrenoid (sub-organelles)","Volume; Volume fraction; Dimensions; Surface Area; Other: volume correlation/scaling (pyrenoid, plastid)",Metabolic State; Other: metabolism/trophy - free-living vs symbiotic (radiolarians - collodaria Collozoum host),,Additional file 2_includes_borderlines.xlsx,Data Extraction_Includes,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Deng 2018,deng-2018,included,Correlative 3D x-ray fluorescence and ptychographic tomography of frozen-hydrated green algae.,30406204,2018,Science Advances,Technical Article,Research Article; Research Methods,Yes,No,,X-ray ptychography & fluorescence,"(125nm x, 140nm z) 3D fluorescence; (45nm x, 55nm z) 3D ptychography",1,,Flagellate protist,Green algae (Chlamydomonas reinhardtii),"Chloroplast/Plastid; Other: acidocalcisome, starch granule (likely/uncertain - nucleus, vacuole)",None,Methodology; Other: Modality comparison non-quantitative,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Includes,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Deshmukh 2024,deshmukh-2024,included,Subcellular Feature-Based Classification of Î± and Î² Cells Using Soft X-ray Tomography.,38786091,2024,Cells,Research Article,Article,Yes,No,Reconstructed data are available from the corresponding contacts upon request. The original code is available at the GitHub repository: https://github.com/kvn42999 /Subcellular-Feature-Based-Classification-Alpha-Beta-Cells.git (accessed on 9 April 2024.,SXT,30-46.5nm,15,"8 alpha, 7 beta",Rodent,mouse pancreatic islet alpha and beta cells,Nucleus; Mitochondria; Vesicles,Volume; Volume fraction; Dimensions; Count/#; Surface Area; Density,Cell Type/Species,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Includes,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Diaz 2015,diaz-2015,included,Three-dimensional mass density mapping of cellular ultrastructure by ptychographic X-ray nanotomography.,26470812,2015,Journal of Structural Biology,Technical Article,not specified,Yes,No,,Other: X-ray ptychography,180nm,3+,"not stated; 3 individual cells shown in Fig 4bce, but could count ~10 total between 4a/d, although we can't tell how many are whole",Flagellate protist,Chlamydomonas reinhartdii,"Nucleus; Vacuole/Lysosome; Lipid Droplets; Other: starch platelets, pyrenoid, starch grains, nucleolus",Density; Other: electron density & mass density,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Includes,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Egebjerg 2024,egebjerg-2024,included,Automated quantification of vacuole fusion and lipophagy in Saccharomyces cerevisiae from fluorescence and cryo-soft X-ray microscopy data using deep learning.,37908116,2024,Autophagy,Research Article,Research Paper/Toolbox,Yes,Yes,"The code for the classification CNN and for the segmentation pipeline is available at https://github.com/Wuestner-Lab/DYFNet and https:// github.com/Wuestner-Lab/LipoSeg, respectively. Selected examples of 3D reconstructions from X-ray tomograms and all fluorescence images of the trainings set are availability at https://zenodo.org/record/ 8070003 with this link additionally provided at the DYFNet GitHub page.",SXT,9.8nm (or 30nm),72,"28 (14 WT, 6 Ncr1, 8 Npc2) - mentioned in M&M - this seems to be for analysis. In results pg 12 - n=72 (WT 24, ncr1 30, npc2 18) - this seems to be total 3D renderings, of which the above n=28 is a subset.",Yeast,Saccharomyces cerevisiae,Vacuole/Lysosome; Lipid Droplets,Volume; Count/#; Positioning/Distance; Contacts/Associations; Shape,Cell Type/Species,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Includes,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
