dataset_locator_id,study_id,study_slug,included_status,year,journal_published,open_access,study_data_available,public_locator_urls,public_repository_types,public_total_size_raw,public_total_size_bytes_min,public_total_size_bytes_max,public_size_parse_note,data_availability_notes,imaging_modality,modality_code,xy_nm,z_nm,organism_type,cell_type,cell_type_code,abbreviation,min_sample_size,sample_size_certain,sample_size_notes,organelles_common,organelles_specialized,source_file,source_sheet,source_repo_url,source_commit
wayama-2013-037,Wayama 2013,wayama-2013,included,2013,PLoS ONE,Yes,No,,,,,,,,ssTEM,4,3-5,3-5,Protist (green alga),Haematococcus pluvialis,27,Hp,2,Y,"1 coccoid cell, 1 cyst cell",Nucleus; Mitochondria; Chloroplast/Plastid; Golgi,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
wei-2012-063,Wei 2012,wei-2012,included,2012,Biotechniques,Yes,No,,,,,,,,FIB-SEM,1,3,3,Yeast,Saccharomyces cerevisiae,38,Sc,1,Y,1 cell per resolution,Nucleus; ER; Mitochondria; Vacuole/Lysosome; Lipid Droplets; Golgi; Vesicles;,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
wei-2012-064,Wei 2012,wei-2012,included,2012,Biotechniques,Yes,No,,,,,,,,FIB-SEM,1,5,5,Yeast,Saccharomyces cerevisiae,38,Sc,1,Y,1 cell per resolution,Nucleus; ER; Mitochondria; Vacuole/Lysosome; Lipid Droplets; Golgi; Vesicles;,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
wei-2012-065,Wei 2012,wei-2012,included,2012,Biotechniques,Yes,No,,,,,,,,FIB-SEM,1,3.72,15,Yeast,Saccharomyces cerevisiae,38,Sc,1,Y,1 cell per resolution,Nucleus; ER; Mitochondria; Vacuole/Lysosome; Lipid Droplets; Golgi; Vesicles;,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
white-2020-089,White 2020,white-2020,included,2020,Science Advances,Yes,No,,,,,,,,SXT,2,60,60,Rodent,INS-1E (R. norvegicus),57,RtBeta,40,Y,8 x 5 conditions,Nucleus; Mitochondria; Lipid Droplets; Vesicles,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
wu-2020-066,Wu 2020,wu-2020,included,2020,Structure,Yes,No,,,,,,,"N (""Representative tomogram containing an Hsp104-GFP-positive aggregate densities: EMD-21953. Raw CACM, cryoFIB-SEM, and cryoET data necessary to replicate our analyses can be made available upon request."")",FIB-SEM,1,"CACM: xy? 0.42um (z); FIBSEM: 39.19nm milling (z?), pixel size 12.56nm (xy); ssTEM ?","CACM: xy? 0.42um (z); FIBSEM: 39.19nm milling (z?), pixel size 12.56nm (xy); ssTEM ?",Yeast,Saccharomyces cerevisiae,38,Sc,1,Y,"comparing 3 modalities on 1 cell, FIB-SEM produces the only ""whole cell""",Nucleus; Mitochondria; Vacuole/Lysosome; Lipid Droplets; Vesicles,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
xu-2024-043,Xu 2024,xu-2024,included,2024,ACS Nano,No,No,,,,,,,,SXT,2,30,30,Protist (green alga),Chlamydomonas reinhartdii,30,Cr,12,Y,6 ctrl + 6 AgNP-treated,Nucleus; ER; Vacuole/Lysosome; Lipid Droplets; Flagella/cilia,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
yamaguchi-2011-067,Yamaguchi 2011,yamaguchi-2011,included,2011,J Electron Microsc (Tokyo),No,No,,,,,,,,ssTEM,4,30,30,Yeast,Saccharomyces cerevisiae,38,Sc,6,Y,"(3 G1, 3 early G1)",ER; Mitochondria; Vacuole/Lysosome; Vesicles,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
yao-2018-091,Yao 2018,yao-2018,included,2018,IUCrJ,Yes,No,,,,,,,,STXM,12,75-80,50,Rodent,"M. musculus, macrophage",59,MsPM,1,Y,,Nucleus; Vacuole/Lysosome,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
zechmann-2022-047,Zechmann 2022,zechmann-2022,included,2022,Planta,No,No,,,,,,,Dataset availability The datasets generated during and/or analyzed during the current study are available from the corresponding author on reasonable request.,FIB-SEM,1,?,80,Plant,Cucurbita pepo,33,Cpep,1,Y,,Nucleus; Mitochondria; Vacuole/Lysosome; Chloroplast/Plastid; Peroxisome,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
zechmann-2022-048,Zechmann 2022,zechmann-2022,included,2022,Planta,No,No,,,,,,,Dataset availability The datasets generated during and/or analyzed during the current study are available from the corresponding author on reasonable request.,ssTEM,4,?,80,Plant,Cucurbita pepo,33,Cpep,1,Y,,Nucleus; Mitochondria; Vacuole/Lysosome; Chloroplast/Plastid; Peroxisome,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
zechmann-2022-045,Zechmann 2022,zechmann-2022,included,2022,Planta,No,No,,,,,,,Dataset availability The datasets generated during and/or analyzed during the current study are available from the corresponding author on reasonable request.,FIB-SEM,1,?,80,Plant,Nicotiana tabacum,32,Nt,1,Y,,Nucleus; Mitochondria; Vacuole/Lysosome; Chloroplast/Plastid; Peroxisome,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
zechmann-2022-046,Zechmann 2022,zechmann-2022,included,2022,Planta,No,No,,,,,,,Dataset availability The datasets generated during and/or analyzed during the current study are available from the corresponding author on reasonable request.,ssTEM,4,?,80,Plant,Nicotiana tabacum,32,Nt,1,Y,,Nucleus; Mitochondria; Vacuole/Lysosome; Chloroplast/Plastid; Peroxisome,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
zheng-2012-054,Zheng 2012,zheng-2012,included,2012,Microscopy research and technique,No,No,,,,,,,,HXT,8,50,50,Yeast,Schizosaccharomyces pombe,37,Sp,3,Y,,Mitochondria; Vacuole/Lysosome; Lipid Droplets,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
